epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,1912.15,1.03332,0.53922,0.94123,0.99809,0.98333,0.98766,0.78485,0.79915,0.35295,0.90204,0.00061739,0.00061739,0.00061739
161,1923.97,1.02455,0.52987,0.93782,0.99917,0.98286,0.99075,0.796,0.75514,0.34551,0.89612,0.000610789,0.000610789,0.000610789
162,1935.86,1.02854,0.53266,0.94246,0.99377,0.98719,0.98894,0.79557,0.73482,0.34325,0.89336,0.000604187,0.000604187,0.000604187
163,1947.77,1.03636,0.53329,0.95029,0.99583,0.9875,0.99483,0.7963,0.75999,0.34484,0.89616,0.000597586,0.000597586,0.000597586
164,1959.61,1.02077,0.52914,0.94243,0.99783,0.9875,0.99085,0.79402,0.7758,0.35665,0.90068,0.000590985,0.000590985,0.000590985
165,1971.62,1.01072,0.51943,0.94275,0.99842,0.98282,0.99425,0.79965,0.76511,0.34897,0.8955,0.000584384,0.000584384,0.000584384
166,1983.44,1.04779,0.53922,0.94932,0.99325,0.98707,0.99459,0.79909,0.76633,0.35072,0.89253,0.000577782,0.000577782,0.000577782
167,1995.31,1.01581,0.52623,0.94034,0.9936,0.9875,0.99459,0.78601,0.79428,0.35522,0.90786,0.000571181,0.000571181,0.000571181
168,2007.09,1.01779,0.52478,0.94166,0.99824,0.975,0.99419,0.79171,0.76544,0.35641,0.90027,0.00056458,0.00056458,0.00056458
169,2018.97,1.03095,0.53377,0.93685,0.99918,0.9831,0.99403,0.79809,0.74939,0.35094,0.89279,0.000557978,0.000557978,0.000557978
170,2030.84,1.01655,0.531,0.93871,0.99848,0.98333,0.9923,0.79868,0.75254,0.35276,0.89233,0.000551377,0.000551377,0.000551377
171,2042.74,1.00253,0.52047,0.93825,0.99795,0.97917,0.99263,0.80055,0.75521,0.34664,0.89556,0.000544776,0.000544776,0.000544776
172,2054.6,1.00227,0.52185,0.9363,0.98846,0.99299,0.99483,0.80334,0.75974,0.34523,0.89519,0.000538174,0.000538174,0.000538174
173,2066.5,1.0059,0.52652,0.9377,0.99904,0.98333,0.994,0.80442,0.76273,0.3436,0.89429,0.000531573,0.000531573,0.000531573
174,2078.43,0.96823,0.50989,0.93633,0.99979,0.98256,0.99428,0.7918,0.78002,0.3527,0.90043,0.000524972,0.000524972,0.000524972
175,2090.49,1.00332,0.51738,0.93324,0.99938,0.983,0.9922,0.7919,0.76456,0.34958,0.89628,0.00051837,0.00051837,0.00051837
176,2102.47,0.98974,0.51542,0.93054,0.99076,0.98333,0.99186,0.79104,0.78512,0.35339,0.90187,0.000511769,0.000511769,0.000511769
